time_boot_ms,vx,vy,vz,relative_alt
49149.0,-0.01,0.02,-0.26,9.715
49149.0,-0.01,0.02,-0.26,9.715
49399.0,-0.01,0.02,-0.2,9.78
49399.0,-0.01,0.02,-0.2,9.78
49649.0,-0.03,0.01,-0.15,9.827
49649.0,-0.03,0.01,-0.15,9.827
49899.0,-0.07,0.02,-0.11,9.862
49899.0,-0.07,0.02,-0.11,9.862
50149.0,-0.07,0.02,-0.1,9.889
50149.0,-0.07,0.02,-0.1,9.889
50399.0,-0.06,0.02,-0.15,9.917
50399.0,-0.06,0.02,-0.15,9.917
50649.0,-0.05,0.02,-0.2,9.961
50649.0,-0.05,0.02,-0.2,9.961
50899.0,-0.04,0.02,-0.21,10.01
50899.0,-0.04,0.02,-0.21,10.01
51149.0,-0.03,0.02,-0.2,10.059000000000001
51149.0,-0.03,0.02,-0.2,10.059000000000001
51399.0,-0.02,0.02,-0.19,10.106
51399.0,-0.02,0.02,-0.19,10.106
51649.0,-0.01,0.02,-0.18,10.15
51649.0,-0.01,0.02,-0.18,10.15
51899.0,0.0,0.02,-0.17,10.192
51899.0,0.0,0.02,-0.17,10.192
52149.0,0.0,0.02,-0.16,10.232000000000001
52149.0,0.0,0.02,-0.16,10.232000000000001
52399.0,0.0,0.01,-0.16,10.27
52399.0,0.0,0.01,-0.16,10.27
52649.0,0.0,0.01,-0.16,10.307
52649.0,0.0,0.01,-0.16,10.307
52899.0,0.0,0.01,-0.16,10.344
52899.0,0.0,0.01,-0.16,10.344
53149.0,0.0,0.01,-0.15,10.38
53149.0,0.0,0.01,-0.15,10.38
53399.0,0.0,0.02,-0.15,10.416
53399.0,0.0,0.02,-0.15,10.416
53649.0,0.0,0.01,-0.15,10.452
53649.0,0.0,0.01,-0.15,10.452
53899.0,0.0,0.01,-0.15,10.487
53899.0,0.0,0.01,-0.15,10.487
54149.0,0.0,0.02,-0.15,10.522
54149.0,0.0,0.02,-0.15,10.522
54399.0,0.0,0.02,-0.15,10.557
54399.0,0.0,0.02,-0.15,10.557
54649.0,0.0,0.02,-0.15,10.592
54649.0,0.0,0.02,-0.15,10.592
54899.0,0.0,0.02,-0.15,10.628
54899.0,0.0,0.02,-0.15,10.628
55149.0,0.0,0.02,-0.15,10.663
55149.0,0.0,0.02,-0.15,10.663
55399.0,0.0,0.02,-0.15,10.698
55399.0,0.0,0.02,-0.15,10.698
55649.0,0.0,0.02,-0.15,10.733
55649.0,0.0,0.02,-0.15,10.733
55899.0,0.0,0.02,-0.15,10.769
55899.0,0.0,0.02,-0.15,10.769
56149.0,-0.01,0.02,-0.15,10.805
56149.0,-0.01,0.02,-0.15,10.805
56399.0,-0.01,0.02,-0.15,10.842
56399.0,-0.01,0.02,-0.15,10.842
56649.0,-0.02,0.02,-0.15,10.877
56649.0,-0.02,0.02,-0.15,10.877
56899.0,-0.02,0.02,-0.15,10.913
56899.0,-0.02,0.02,-0.15,10.913
57149.0,-0.04,0.02,-0.15,10.948
57149.0,-0.04,0.02,-0.15,10.948
57399.0,-0.05,0.02,-0.15,10.984
57399.0,-0.05,0.02,-0.15,10.984
57649.0,-0.05,0.02,-0.15,11.02
57649.0,-0.05,0.02,-0.15,11.02
57899.0,-0.05,0.02,-0.14,11.055
57899.0,-0.05,0.02,-0.14,11.055
58149.0,-0.04,0.02,-0.14,11.09
